iter	Passed	Remaining
0	17	1688
1	18	885
2	18	603
3	19	471
4	21	409
5	22	351
6	23	310
7	24	282
8	25	258
9	26	238
10	27	221
11	28	208
12	28	192
13	29	180
14	30	170
15	30	160
16	46	228
17	47	217
18	48	206
19	49	197
20	49	186
21	50	178
22	51	171
23	51	164
24	62	187
25	63	179
26	64	173
27	64	166
28	65	160
29	77	180
30	78	173
31	78	167
32	79	160
33	79	155
34	92	170
35	92	164
36	93	159
37	94	154
38	95	149
39	96	144
40	97	139
41	97	135
42	98	130
43	99	126
44	100	122
45	101	118
46	107	121
47	108	117
48	109	113
49	110	110
50	110	106
51	111	103
52	112	99
53	113	96
54	114	93
55	114	90
56	115	87
57	116	84
58	117	81
59	118	78
60	118	76
61	122	75
62	123	72
63	124	69
64	124	67
65	125	64
66	126	62
67	127	59
68	128	57
69	129	55
70	130	53
71	130	50
72	131	48
73	132	46
74	133	44
75	133	42
76	134	40
77	137	38
78	138	36
79	138	34
80	152	35
81	153	33
82	154	31
83	155	29
84	156	27
85	156	25
86	157	23
87	158	21
88	159	19
89	160	17
90	167	16
91	168	14
92	168	12
93	169	10
94	170	8
95	171	7
96	171	5
97	183	3
98	184	1
99	198	0
